sitecode,pond,monitor
ALC,Alliant Center Pond,Hua
CAP,Commercial Ave. Pond,Hua
CG,Cottage Grove,Hua
DC4,Door Creek 4,Hua
DC5,Door Creek 5,Hua
DCSW,Door Creek Stormwater,Hua
DCW,Door Creek Wild,Hua
DOBA10,Dobson A10 Pond,Hua
DOBA14,Dobson A14 Pond,Hua
DOBA16,Dobson A16 Pond,Hua
DOBA22,Dobson A22 Pond,Hua
DOBA25,Dobson A25 Pond,Hua
DOBA5,Dobson A5 Pond,Hua
DOBA7,Dobson A7 Pond,Hua
DOBA8,Dobson A8 Pond,Hua
DOBA9,Dobson A9 Pond,Hua
ELV,Elver Pond,Both
ET2,Edna Pond 2,Hua
ET3,Edna Pond 3,Hua
ET5,Edna Pond 5,Hua
GPP,Garner Park Pond,Hua
HPC,High Point Church Pond,Hua
HP-UW,Hospital Pond,Hua
KP,Kettle Pond,Both
L60-UW,Lot 60 Pond,Hua
LM-ARB,Manitou Lower Pond,Hua
MCF,McFarland,Hua
MDT,Midtown Pond,Hua
MP,Meadow Pond,Hua
OPP-E,Owen Park Pond East,Hua
OPP-W,Owen Park Pond West,Both
O-S,Orchid South,Both
PBC,Pheasant Branch Pond,Hua
SWP-ARB,Arboretum Stormwater Pond,Hua
TCW,Token West,Hua
UM-ARB,Manitou Upper Pond,Hua
STR,Strickers Pond,Wilkinson
TIE,Tiedemans Pond,Wilkinson
GRA,Graber Pond,Wilkinson
LKV,Lakeview Park Pond,Wilkinson
O-N,Orchid North,Wilkinson
MCK,McKee Farms Park Pond,Wilkinson
WLV,West Lakeview,Wilkinson
